a._D._(außer_Dienst), A_DEK 
AA_(Auswärtiges_Amt), A_DEK 
Abb._(Abbildung), A_DEK 
Abk._(Abkürzung), A_DEK 
Abs._(Absender), A_DEK 
Abs._(Absender)_v2, A_DEK 
abs._(absolut), A_DEK 
Abt._(Abteilung), A_DEK 
Abt._(Abteilung)_v2, A_DEK 
ADAC_(Allgemeiner_Deutscher_Automobil-Club), A_DEK 
AG_(Aktiengesellschaft), A_DEK 
Anh._(Anhang), A_DEK 
AOK_(Allgemeine_Ortskrankenkasse), A_DEK 
AOK_(Allgemeine_Ortskrankenkasse)_v2, A_DEK 
Apr._(April), A_DEK 
ARD, A_DEK 
ASS_(Acetylsalicylsäure), A_DEK 
ASS_(Acetylsalicylsäure)_v2, A_DEK 
AStA_(Allgemeiner_Studierendenausschuss), A_DEK 
Aug._(August), A_DEK 
Bd._(Band), A_DEK 
"betr._(betreffend,_betreffs,_betrifft)", A_DEK 
BGB_(Bürgerliches_Gesetzbuch), A_DEK 
BH_(Büstenhalter), A_DEK 
Bsp._(Beispiel), A_DEK 
BWL_(Betriebswirtschaftslehre), A_DEK 
bzw._(beziehungsweise), A_DEK 
ca._(circa), A_DEK 
CDU_(Christlich_Demokratische_Union_Deutschlands), A_DEK 
CDU_CSU, A_DEK 
cm_(Zentimeter), A_DEK 
CMYK_Farbraum, A_DEK 
CNN, A_DEK 
CSU_(Christlich-Soziale_Union_in_Bayern), A_DEK 
d._h._(das_heißt), A_DEK 
d._J._(dieses_Jahres), A_DEK 
d._M._(dieses_Monats), A_DEK 
DB_(Deutsche_Bahn), A_DEK 
DDR_(Deutsche_Demokratische_Republik), A_DEK 
DEA_(Deutsche_Erdöl_AG), A_DEK 
dergl._(dergleichen), A_DEK 
desgl._(desgleichen), A_DEK 
Dez._(Dezember), A_DEK 
DFB_(Deutscher_Fußballbund), A_DEK 
DGB_(Deutscher_Gewerkschaftsbund), A_DEK 
DGzRS_(Deutsche_Gesellschaft_zur_Rettung_Schiffbrüchiger), A_DEK 
DIN-A_4-Blatt, A_DEK 
DIN-A_4-Blatt_v2, A_DEK 
DIN_(Deutsche_Institut_für_Normung), A_DEK 
Dipl._Ing, A_DEK 
DM_(Deutsche_Mark), A_DEK 
DPA_(Deutsche_Presse-Agentur), A_DEK 
Dr._(Doktor), A_DEK 
Dr._ing, A_DEK 
Dr._jur, A_DEK 
Dr._med._dent, A_DEK 
Dr._med, A_DEK 
Dr._phil, A_DEK 
Dr._rer._nat._(Doktor_der_Naturwissenschaften), A_DEK 
DRK_(Deutsches_Rotes_Kreuz), A_DEK 
DRK_(Deutsches_Rotes_Kreuz)_v2, A_DEK 
e._K._(eingetragener_Kaufmann), A_DEK 
e._V._(eingetragener_Verein), A_DEK 
einschl._(einschließlich), A_DEK 
EKG_(Elektrokardiogramm), A_DEK 
EkSt_(Einkommensteuer), A_DEK 
Erdg._(Erdgeschoss), A_DEK 
ESt_(Einkommensteuer), A_DEK 
